iter	MultiClass
0	1.418176837
1	1.281372794
2	1.174364788
3	1.091657256
4	1.024052891
5	0.9659350492
6	0.9172893902
7	0.8721942745
8	0.8352176832
9	0.8029788099
10	0.7743667423
11	0.7492267055
12	0.7265911189
13	0.7083398147
14	0.6883240783
15	0.6709383532
16	0.6564772092
17	0.6431814281
18	0.6299471621
19	0.6164229244
20	0.6065083728
21	0.6010828736
22	0.5911862641
23	0.5820371805
24	0.5745005875
25	0.5667716898
26	0.5587498908
27	0.5531909257
28	0.5489299097
29	0.5429912188
30	0.5372046034
31	0.5328180676
32	0.52809921
33	0.5225466716
34	0.5177937804
35	0.514270369
36	0.5097911442
37	0.5075772682
38	0.5047650339
39	0.5015857742
40	0.4998613629
41	0.4967538699
42	0.4938998551
43	0.4904366531
44	0.4876903666
45	0.4846094341
46	0.4831957221
47	0.4805350035
48	0.4788608071
49	0.4774496888
50	0.4754073229
51	0.4739354715
52	0.4720933466
53	0.4706152875
54	0.4697015719
55	0.4674311814
56	0.4658637697
57	0.4653875783
58	0.4630039923
59	0.4614423332
60	0.4604769194
61	0.4595069655
62	0.4578622685
63	0.4561669071
64	0.4547577853
65	0.4534082591
66	0.4523488723
67	0.4503858199
68	0.4494226701
69	0.4476535196
70	0.4468894067
71	0.4459771118
72	0.4450651449
73	0.4438232198
74	0.442934393
75	0.4419505775
76	0.4413740939
77	0.4402725108
78	0.4393587676
79	0.4386172588
80	0.4377798502
81	0.436189172
82	0.4348370194
83	0.4339258614
84	0.4327225035
85	0.4317838733
86	0.4310143986
87	0.4301013722
88	0.4288159127
89	0.4284973107
90	0.427593176
91	0.4270128675
92	0.4257279151
93	0.4247301007
94	0.4238509011
95	0.4226884153
96	0.4216900645
97	0.4209439595
98	0.4203962094
99	0.4198892256
100	0.4188771581
101	0.4183865535
102	0.4174386094
103	0.416503419
104	0.4158148836
105	0.4148339895
106	0.4142394919
107	0.4139040274
108	0.4127545371
109	0.4122596912
110	0.4118904148
111	0.4111769628
112	0.4102177068
113	0.4092482111
114	0.4086070341
115	0.4080133627
116	0.4073096562
117	0.4058875391
118	0.4052884483
119	0.4047506014
120	0.4039019611
121	0.4031928719
122	0.4026719428
123	0.4019554655
124	0.4012234145
125	0.4006138271
126	0.4001668945
127	0.3993995757
128	0.3989674389
129	0.3977500377
130	0.3967567747
131	0.3962763726
132	0.3951891548
133	0.3945631334
134	0.3941612149
135	0.3931188917
136	0.3922610007
137	0.3917842169
138	0.3909312559
139	0.3903129942
140	0.3899783228
141	0.3891591985
142	0.3890256924
143	0.3887490086
144	0.3882226105
145	0.3874184825
146	0.3871426609
147	0.3865864178
148	0.3859451205
149	0.3851118424
150	0.3844991723
151	0.3840682721
152	0.3832397135
153	0.3829797531
154	0.3824488382
155	0.3818431781
156	0.3813584317
157	0.3805710837
158	0.380083211
159	0.3797116549
160	0.3790405212
161	0.3786152871
162	0.378266541
163	0.3779406357
164	0.3773606509
165	0.3770348128
166	0.376510034
167	0.3759782296
168	0.375537971
169	0.3751180196
170	0.374748231
171	0.3740615841
172	0.3737617039
173	0.3730333772
174	0.3726170635
175	0.3722596055
176	0.371739807
177	0.3713599292
178	0.3709825532
179	0.3705123712
180	0.3696374934
181	0.3687728554
182	0.3683763544
183	0.368048951
184	0.3675816313
185	0.367123157
186	0.3666211188
187	0.3662737693
188	0.3654401277
189	0.3648455048
190	0.3643876517
191	0.3638044015
192	0.3631568831
193	0.3626575826
194	0.3622712215
195	0.3618352258
196	0.3613550985
197	0.3609608714
198	0.3607546544
199	0.3601482952
