iter	Passed	Remaining
0	5	1006
1	9	936
2	13	891
3	17	873
4	22	861
5	26	847
6	30	832
7	34	825
8	38	820
9	42	816
10	47	814
11	51	811
12	56	806
13	60	802
14	64	796
15	68	790
16	73	785
17	76	778
18	81	773
19	85	769
20	89	763
21	93	758
22	97	753
23	102	748
24	106	744
25	110	741
26	114	735
27	118	729
28	123	725
29	127	723
30	131	718
31	135	713
32	140	710
33	144	706
34	149	702
35	153	698
36	157	695
37	162	691
38	166	687
39	170	683
40	174	678
41	179	675
42	185	675
43	191	677
44	195	674
45	200	671
46	205	669
47	210	665
48	214	662
49	219	658
50	224	654
51	228	650
52	232	646
53	237	641
54	241	636
55	245	632
56	250	627
57	254	622
58	258	618
59	263	614
60	267	609
61	271	604
62	275	599
63	280	595
64	284	590
65	288	586
66	292	581
67	297	576
68	301	572
69	305	567
70	310	563
71	314	558
72	318	554
73	323	550
74	327	546
75	331	541
76	335	536
77	340	532
78	344	527
79	349	523
80	353	519
81	357	515
82	362	511
83	367	507
84	371	503
85	376	498
86	380	494
87	384	489
88	389	485
89	393	480
90	397	476
91	402	472
92	406	467
93	410	463
94	415	458
95	419	454
96	424	450
97	429	446
98	433	442
99	438	438
100	442	433
101	447	429
102	451	425
103	456	421
104	460	416
105	465	412
106	469	408
107	473	403
108	478	399
109	482	394
110	486	390
111	491	385
112	495	381
113	500	377
114	504	372
115	508	368
116	513	364
117	517	359
118	521	355
119	526	350
120	530	346
121	534	341
122	538	337
123	543	333
124	549	329
125	553	325
126	558	320
127	563	316
128	567	312
129	571	307
130	576	303
131	580	299
132	585	294
133	589	290
134	593	285
135	597	281
136	601	276
137	605	272
138	610	267
139	614	263
140	618	258
141	623	254
142	627	249
143	631	245
144	635	240
145	639	236
146	643	232
147	647	227
148	651	223
149	655	218
150	659	214
151	664	209
152	668	205
153	672	200
154	676	196
155	680	192
156	684	187
157	689	183
158	693	178
159	697	174
160	701	170
161	705	165
162	710	161
163	714	156
164	718	152
165	723	148
166	727	143
167	731	139
168	736	135
169	740	130
170	744	126
171	748	121
172	752	117
173	756	113
174	761	108
175	765	104
176	769	99
177	773	95
178	777	91
179	781	86
180	786	82
181	790	78
182	794	73
183	798	69
184	802	65
185	806	60
186	810	56
187	815	52
188	819	47
189	823	43
190	827	39
191	832	34
192	836	30
193	840	26
194	845	21
195	849	17
196	853	12
197	857	8
198	862	4
199	866	0
