sim_time,avg_speed,z1,z2,z3,cars_z1,cars_z2,cars_z3,total_cars,q_len_m
5.000,35.00,35.0,35.0,35.0,0,0,0,0,0.00
6.000,35.00,35.0,35.0,35.0,0,0,0,0,0.00
7.000,39.36,39.9,38.4,39.8,1,1,1,3,0.00
8.000,37.86,35.4,38.4,39.8,1,1,1,3,0.00
9.000,34.68,34.4,34.6,35.0,2,1,0,3,0.00
10.000,34.52,34.0,34.6,35.0,2,1,0,3,0.00
11.000,36.84,33.6,37.3,39.5,2,1,1,4,0.00
12.000,34.60,34.3,34.5,35.0,2,1,1,4,0.00
13.000,34.10,34.8,33.9,33.7,2,1,1,4,0.00
14.000,34.10,34.1,33.3,35.0,2,2,0,4,0.00
15.000,34.70,34.0,33.1,37.0,2,1,1,4,0.00
16.000,36.19,34.1,34.9,39.6,3,1,1,5,0.00
17.000,36.05,34.2,34.4,39.6,2,1,1,4,0.00
18.000,34.35,34.0,34.1,35.0,3,1,0,4,0.00
19.000,35.18,33.7,34.9,36.9,2,1,1,4,0.00
20.000,35.65,34.2,33.8,39.0,2,1,1,4,0.00
21.000,34.60,34.4,34.7,34.7,2,1,1,4,0.00
22.000,35.02,33.9,34.9,36.2,2,1,1,4,0.00
23.000,34.78,34.7,34.6,35.0,2,2,0,4,0.00
24.000,34.05,34.4,32.3,35.4,2,1,1,4,0.00
25.000,35.71,34.0,33.8,39.3,3,1,1,5,0.00
26.000,35.85,33.5,34.7,39.3,2,1,1,4,0.00
27.000,34.49,33.7,34.8,35.0,3,1,0,4,0.00
28.000,35.06,33.7,34.4,37.0,2,1,1,4,0.00
29.000,36.15,34.4,34.2,39.9,2,1,1,4,0.00
30.000,34.90,34.6,34.7,35.4,2,1,1,4,0.00
31.000,35.23,33.9,34.7,37.1,2,1,1,4,0.00
32.000,34.60,34.1,34.7,35.0,2,2,0,4,0.00
33.000,35.65,34.6,32.5,39.8,2,1,1,4,0.00
34.000,36.11,34.1,35.3,38.9,3,1,1,5,0.00
35.000,35.90,34.0,34.8,38.9,2,1,1,4,0.00
36.000,34.43,34.2,34.1,35.0,3,1,0,4,0.00
37.000,34.60,34.0,34.8,35.0,2,1,0,3,0.00
38.000,36.40,34.2,35.8,39.2,2,1,1,4,0.00
39.000,34.60,34.1,34.8,34.9,2,1,1,4,0.00
40.000,34.75,34.1,34.6,35.5,2,1,1,4,0.00
41.000,34.46,34.2,34.2,35.0,2,2,0,4,0.00
42.000,34.37,34.0,33.3,35.8,2,1,1,4,0.00
43.000,35.35,33.6,34.1,38.3,3,1,1,5,0.00
44.000,35.30,33.8,33.8,38.3,2,1,1,4,0.00
45.000,34.47,34.5,33.9,35.0,3,1,0,4,0.00
46.000,35.19,33.8,34.6,37.1,2,1,1,4,0.00
47.000,35.96,34.5,34.0,39.4,2,1,1,4,0.00
48.000,36.00,34.0,34.6,39.4,2,1,1,4,0.00
49.000,34.87,34.1,35.0,35.6,2,1,1,4,0.00
