sim_time,avg_speed,z1,z2,z3,cars_z1,cars_z2,cars_z3,total_cars,q_len_m
5.000,35.00,35.0,35.0,35.0,0,0,0,0,0.00
6.000,35.00,35.0,35.0,35.0,0,0,0,0,0.00
7.000,38.27,39.6,38.0,37.2,1,1,2,4,0.00
8.000,36.77,35.1,38.0,37.2,1,1,2,4,0.00
9.000,34.12,34.5,32.9,35.0,2,2,0,4,0.00
10.000,34.35,33.8,32.0,37.2,3,1,2,6,0.00
11.000,34.83,33.4,34.5,36.6,4,1,2,7,0.00
12.000,34.79,32.8,33.2,38.4,3,2,1,6,0.00
13.000,33.65,32.9,31.6,36.4,3,2,1,6,0.00
14.000,34.00,33.2,31.3,37.5,3,1,2,6,0.00
15.000,34.35,32.7,32.5,37.9,3,1,2,6,0.00
16.000,34.50,32.3,34.6,36.5,4,1,2,7,0.00
17.000,33.25,31.4,32.3,36.0,3,2,1,6,0.00
18.000,33.95,31.4,30.6,39.9,3,2,1,6,0.00
19.000,33.15,31.7,28.9,38.8,4,1,2,7,0.00
20.000,33.33,31.2,30.9,37.8,4,1,2,7,0.00
21.000,33.88,32.1,31.5,38.0,3,2,1,6,0.00
22.000,33.47,31.9,32.4,36.2,3,2,1,6,0.00
23.000,33.18,31.4,30.6,37.5,4,1,2,7,0.00
24.000,33.72,30.9,31.4,38.9,4,1,2,7,0.00
25.000,34.06,30.0,34.3,37.9,4,1,2,7,0.00
26.000,32.77,30.0,31.5,36.8,4,2,1,7,0.00
27.000,32.71,29.8,30.9,37.4,4,2,1,7,0.00
28.000,33.01,29.7,30.7,38.7,4,1,2,7,0.00
29.000,34.04,29.6,33.8,38.7,4,1,2,7,0.00
30.000,33.33,29.4,33.2,37.5,3,2,1,6,0.00
31.000,31.94,27.9,32.8,35.1,4,2,1,7,0.00
32.000,32.51,26.8,31.2,39.5,4,2,1,7,0.00
33.000,31.71,26.0,30.6,38.5,4,1,2,7,0.00
34.000,31.63,26.2,31.7,37.0,5,1,2,8,0.00
35.000,31.38,26.0,31.7,36.4,4,2,1,7,0.00
36.000,30.99,24.7,32.0,36.2,4,2,1,7,0.00
37.000,31.17,25.1,30.5,37.8,4,1,2,7,0.00
38.000,31.46,24.9,33.2,36.3,5,1,2,8,0.00
39.000,29.56,23.9,30.4,34.4,4,2,1,7,0.00
40.000,29.02,23.9,30.0,33.2,4,2,1,7,0.00
41.000,30.68,24.6,30.8,36.7,5,2,1,8,0.00
42.000,30.34,25.3,29.0,36.7,5,1,2,8,0.00
43.000,31.20,25.8,31.8,36.0,5,1,2,8,0.00
44.000,30.77,25.1,30.3,36.9,4,2,1,7,0.00
45.000,31.91,26.4,31.5,37.8,5,2,1,8,0.00
46.000,31.01,24.4,29.8,38.9,5,1,2,8,0.00
47.000,30.53,22.0,33.0,36.6,5,1,2,8,0.00
48.000,28.85,18.9,29.9,37.8,5,2,1,8,0.00
49.000,26.91,17.0,29.8,33.9,6,2,1,9,0.00
